supplier_id,orders,revenue,freight,late_rate,cancel_rate,bad_review_rate,freight_burden,demand_volatility,revenue_share,risk_score,risk_quintile
f84a00e60c73a49e7e851c9bdca3a5bb,90,5949.9400000000005,2001.8200000000004,0.10227272727272728,0.0,0.2111111111111111,0.3364437288443245,0.760746060062906,0.0005330268777123823,64.2,5
5058e8c1e82653974541e83690655b4a,63,10022.819999999987,3055.1100000000006,0.11290322580645161,0.0,0.31746031746031744,0.30481541123157,0.6490491523892341,0.0008978968612243506,64.2,5
e9bc59e7b60fc3063eb2290deda4cced,216,34343.06000000006,4688.499999999999,0.07655502392344497,0.004629629629629629,0.16666666666666666,0.1365195762986755,0.7513604219415145,0.0030766317043346724,64.0,5
23d7c96d4a1160db1c726b248601b25a,53,11766.93999999999,1379.5800000000006,0.1,0.05660377358490566,0.20754716981132076,0.11724203573741362,0.41674037010960013,0.0010541442919473026,64.0,5
4a3ccda38b2129705f3fb522db62ca31,66,17062.58999999999,1432.34,0.0625,0.015151515151515152,0.21212121212121213,0.08394622387339794,0.7655230530188042,0.0015285564347516968,63.8,5
6039e27294dc75811c0d8a39069f52c0,64,13670.69999999998,2376.4699999999993,0.1746031746031746,0.0,0.203125,0.1738367457408913,0.8350730538152537,0.0012246931123914954,63.5,5
95f83f51203c626648c875dd41874c7f,52,3217.460000000002,1609.049999999999,0.04,0.019230769230769232,0.28846153846153844,0.5000994573359103,0.41344911529736156,0.00028823696675335926,63.5,5
a416b6a846a11724393025641d4edd5e,162,25670.72000000002,2999.799999999999,0.10828025477707007,0.030864197530864196,0.16049382716049382,0.1168568703955322,0.5266846668568282,0.00229971793500923,63.4,5
8e6d7754bc7e0f22c96d255ebda59eba,85,14497.26999999999,1715.2399999999982,0.13095238095238096,0.0,0.27058823529411763,0.11831468959328201,1.066151115317168,0.0012987415946132874,63.3,5
e0878efa0e0b7e5313ac0b43bc04c081,27,5065.299999999998,529.6100000000001,0.15384615384615385,0.0,0.2962962962962963,0.10455649221171506,0.9314649140710587,0.0004537761798734994,63.3,5
2709af9587499e95e803a6498a5a56e9,26,1279.5600000000009,579.4599999999999,0.12,0.0,0.23076923076923078,0.45285879521085337,0.5773502691896257,0.00011462970578621908,63.2,5
3c03b12bab54d8b37d79d914bfdb1aa0,37,4236.339999999999,683.4300000000004,0.16216216216216217,0.0,0.21621621621621623,0.16132557821138072,0.8016372945926428,0.00037951358889805163,62.9,5
ffff564a4f9085cd26170f4732393726,20,1426.3000000000002,344.56,0.0,0.2,0.65,0.24157610600855356,0.9092121131323904,0.00012777544574922958,62.9,5
4830e40640734fc1c52cd21127c341d4,210,9843.469999999985,3126.549999999999,0.049019607843137254,0.009523809523809525,0.12857142857142856,0.3176268124960003,0.7227677098440152,0.0008818297461748347,62.7,5
45d33f715e24d15a6ccf5c17b3a23e3c,59,4838.229999999997,903.9300000000001,0.05357142857142857,0.03389830508474576,0.13559322033898305,0.18683072115215701,0.7892868261477038,0.0004334340565710541,62.6,5
